,機關名稱,機關地址,Longitude,Latitude,類型
236,林投坑(二)綠地,,121.4890976,25.136510849,公共活動空間
237,湖山綠地,,121.5438304285,25.1517872961,公共活動空間
238,番仔厝綠地,,121.49590302,25.134130478,公共活動空間
239,磅空頂綠地,,121.46507263,25.122980118,公共活動空間
240,櫻花崗公園,,121.52616,25.12349,公共活動空間
241,北投3號廣場,,121.49784088,25.131959915,公共活動空間
242,41號公園,,121.5644,25.10709,公共活動空間
243,士林官邸公園,,121.53015137,25.094900131,公共活動空間
244,山仔后公園,,121.5456354714,25.1372910255,公共活動空間
245,天母公園,,121.530518,25.1259089,公共活動空間
246,天和一號公園,,121.53471,25.11844,公共活動空間
247,天和公園,,121.53398895,25.119819641,公共活動空間
248,天壽公園,,121.5256861,25.1140282,公共活動空間
249,天福2號公園,,121.53160858,25.117090225,公共活動空間
250,外雙溪公園,,121.55239105,25.101270676,公共活動空間
251,仰德一號公園,,121.53778076,25.100070953,公共活動空間
252,仰德二號公園,,121.53827667,25.099990845,公共活動空間
253,名山公園,,121.53237152,25.101549149,公共活動空間
254,至善公園,,121.53829193,25.098190308,公共活動空間
255,至誠公園,,121.53668213,25.101089478,公共活動空間
256,至德園公園,,121.54640198,25.098400116,公共活動空間
257,住六(公一)公園,,121.5594925005,25.1369139631,公共活動空間
258,住六(公二)公園,,121.5576499443,25.1376053522,公共活動空間
259,克強公園,,121.521967,25.107985964,公共活動空間
260,忠誠公園,,121.52574158,25.103420258,公共活動空間
261,承德公園,,121.52198029,25.089660645,公共活動空間
262,明勝公園,,121.519187,25.079968,公共活動空間
263,東和公園,,121.5336861,25.1226002,公共活動空間
264,社子公園,,121.50602721999999,25.090370178,公共活動空間
265,社子島福安里堤防綠地,,121.4964373417,25.09814157,公共活動空間
266,社正公園,,121.51042175,25.087499619,公共活動空間
267,花卉試驗中心,,121.5444106431,25.1350154328,公共活動空間
268,前港公園,,121.5201556,25.0860629,公共活動空間
269,後港公園,,121.514454,25.093237,公共活動空間
270,美崙公園,,121.51721954,25.097379684,公共活動空間
271,海光公園,,121.50788116,25.081850052,公共活動空間
